Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,13,WOS:000392305000053,2017,Hybrid group recommendations for a travel service,"Recommendation techniques have proven their usefulness as a tool to cope with the information overload problem in many classical domains such as movies, books, and music. Additional challenges for recommender systems emerge in the domain of tourism such as acquiring metadata and feedback, the sparsity of the rating matrix, user constraints, and the fact that traveling is often a group activity. This paper proposes a recommender system that offers personalized recommendations for travel destinations to individuals and groups. These recommendations are based on the users' rating profile, personal interests, and specific demands for their next destination. The recommendation algorithm is a hybrid approach combining a content-based, collaborative filtering, and knowledge-based solution. For groups of users, such as families or friends, individual recommendations are aggregated into group recommendations, with an additional opportunity for users to give feedback on these group recommendations. A group of test users evaluated the recommender system using a prototype web application. The results prove the usefulness of individual and group recommendations and show that users prefer the hybrid algorithm over each individual technique. This paper demonstrates the added value of various recommendation algorithms in terms of different quality aspects, compared to an unpersonalized list of the most-popular destinations.",Article,"De Pessemier, T.; Dhondt, J.; Martens, L.",Recommender system; Group recommendations; Travel; Tourism; Hybrid; Collaborative filtering; Content-based recommender,Recommender system;Group recommendations;Travel;Tourism;Hybrid;Collaborative filtering;Content-based recommender;SYSTEMS,Belgium,2-s2.0-84955248170
,,,13,2-s2.0-85035216023,2017,Photo2Trip: Exploiting visual contents in geo-tagged photos for personalized tour recommendation,"Recently accumulated massive amounts of geo-tagged photos provide an excellent opportunity to understand human behaviors and can be used for personalized tour recommendation. However, no existing work has considered the visual content information in these photos for tour recommendation. We believe the visual features of photos provide valuable information on measuring user/Point-of-Interest (POI) similarities, which is challenging due to data sparsity. To this end, in this paper, we propose a visual feature enhanced tour recommender system, named 'Photo2Trip', to utilize the visual contents and collaborative filtering models for recommendation. Specifically, we first extract various visual features from photos taken by tourists. Then, we propose a Visual-enhanced Probabilistic Matrix Factorization model (VPMF), which integrates visual features into the collaborative filtering model, to learn user interests by leveraging the historical travel records. Moreover, user interests together with trip constraints are formalized to an optimization problem for trip planning. Finally, the experimental results on real-world data show that our proposed visual-enhanced personalized tour recommendation method outperforms other benchmark methods in terms of recommendation accuracy. The results also show that visual features are effective on alleviating the data sparsity and cold start problems on personalized tour recommendation. © 2017 ACM.",Conference Paper,Zhao P.; Xu X.; Liu Y.; Sheng V.S.; Zheng K.; Xiong H.,Collaborative filtering; Tour recommendation; Visual content,Collaborative filtering;Tour recommendation;Visual content;Behavioral research;Computer supported cooperative work;Factorization;Optimization;Cold start problems;Human behaviors;Optimization problems;Probabilistic matrix factorizations;Recommendation accuracy;Recommendation methods,China;United States,
,,,11,2-s2.0-56849108579,2008,Comparing accuracy of cosine-based similarity and correlation-based similarity algorithms in tourism recommender systems,"Recommender system has a long history as a successful application in artificial intelligence. A growth in the number of products, which has been offered by different e-commerce platforms, leads to a technology which can help customers to choose and buy products. Collaborative filtering or recommender systems use a database about user preferences to predict additional topics or products a new user might like. This paper describes some algorithms designed for this task including cosine-based similarity algorithm and correlation-based similarity algorithm. The predictive accuracy of various methods in tourism recommender domains is compared. On the other hand, we have designed and implemented a recommender system in e-tourism in order to compare performance of these algorithms. Finally, we conclude that correlation based similarity algorithm acts better than Cosine based similarity algorithm. ©2008 IEEE.",Conference Paper,Bigdeli E.; Bahmani Z.,Collaborative filtering; Correlation-based similarity algorithms; Cosine-based similarity algorithm; E-tourism; Recommender systems,Collaborative filtering;Correlation-based similarity algorithms;Cosine-based similarity algorithm;E-tourism;Recommender systems;Artificial intelligence;Correlation methods;Database systems;Electronic commerce;Information retrieval systems;Signal filtering and prediction;Innovation,Iran,
,,,8,WOS:000422598000007,2015,A Semantic Social Recommender System Using Ontologies Based Approach For Tunisian Tourism,"Tunisia is well placed in terms of medical tourism and has highly qualified and specialized medical and surgical teams. Integrating social networks in Tunisian medical tourism recommender systems can result in much more accurate recommendations. That is to say, information, interests, and recommendations retrieved from social networks can improve the prediction accuracy. This paper aims to improve traditional recommender systems by incorporating information in social network; including user preferences and influences from social friends. Accordingly, a user interest ontology is developed to make personalized recommendations out of such information. In this paper, we present a semantic social recommender system employing a user interest ontology and a Tunisian Medical Tourism ontology. Our system can improve the quality of recommendation for Tunisian tourism domain. Finally, our social recommendation algorithm is implemented in order to be used in a Tunisia tourism Website to assist users interested in visiting Tunisia for medical purposes.",Article,"Frikha, M.; Mhiri, M.; Gargouri, F.",Recommender System; Social Network; collaborative filtering; Social Semantic Web; Ontology; Tourism,Recommender System;Social Network;collaborative filtering;Social Semantic Web;Ontology;Tourism;MULTIAGENT;NETWORK;AGENT,Tunisia,
,,,8,WOS:000381404300018,2016,Tourism Destination Recommender System for the Cold Start Problem,"With the advent and popularity of e-commerce, an increasing number of consumers prefer to order tourism products online. A recommender system can help these users contend with information overload; however, such a system is affected by the cold start problem. Online tourism destination searching is a more difficult task than others on account of its more restrictive factors. In this paper, we therefore propose a tourism destination recommender system that employs opinion-mining technology to refine user preferences and item opinion reputations. These elements are then fused into a hybrid collaborative filtering method by combining user- and item-based collaborative filtering approaches. Meanwhile, we embed an artificial interactive module in our recommender system to alleviate the cold start problem. Compared with several well-known cold start recommendation approaches, our method provides improved recommendation accuracy and quality. A series of experimental evaluations using a publicly available dataset demonstrate that the proposed recommender system outperforms existing recommender systems in addressing the cold start problem.",Article,"Zheng, X.Y.; Luo, Y.L.; Xu, Z.Y.; Yu, Q.Y.; Lu, L.",Recommender system; cold start; opinion mining; tourism destination; collaborative filtering,Recommender system;cold start;opinion mining;tourism destination;collaborative filtering;CLASSIFICATION,China,2-s2.0-84980383688
,,,8,WOS:000439358300003,2018,Towards a knowledge-based probabilistic and context-aware social recommender system,"In this article, we propose (1) a knowledge-based probabilistic collaborative filtering (CF) recommendation approach using both an ontology-based semantic similarity metric and a latent Dirichlet allocation (LDA) model-based recommendation technique and (2) a context-aware software architecture and system with the objective of validating the recommendation approach in the eating domain (foodservice places). The ontology on which the similarity metric is based is additionally leveraged to model and reason about users' contexts; the proposed LDA model also guides the users' context modelling to some extent. An evaluation method in the form of a comparative analysis based on traditional information retrieval (IR) metrics and a reference ranking-based evaluation metric (correctly ranked places) is presented towards the end of this article to reliably assess the efficacy and effectiveness of our recommendation approach, along with its utility from the user's perspective. Our recommendation approach achieves higher average precision and recall values (8% and 7.40%, respectively) in the best-case scenario when compared with a CF approach that employs a baseline similarity metric. In addition, when compared with a partial implementation that does not consider users' preferences for topics, the comprehensive implementation of our recommendation approach achieves higher average values of correctly ranked places (2.5 of 5 versus 1.5 of 5).",Article,"Colombo-Mendoza, L.O.; Valencia-Garcia, R.; Rodriguez-Gonzalez, A.; Colomo-Palacios, R.; Alor-Hernandez, G.",Collaborative filtering; knowledge-based recommender systems; latent Dirichlet allocation; ontologies; Semantic Web,Collaborative filtering;knowledge-based recommender systems;latent Dirichlet allocation;ontologies;Semantic Web;PERSONALIZED RECOMMENDATION;TOURISM;MODEL;NEWS,Spain;Norway;Mexico,
,,,7,WOS:000399874600001,2017,A bimodal social network analysis to recommend points of interest to tourists,"With the progressive role of computers and their users as actors in social networks, computations alike social network analysis (SNA) are gaining in attention. This work proposes an approach based on SNA, not alone on social networks as supported by existing approaches, to estimate the tourists' satisfaction with individual Points of Interest (POIs), and accordingly recommend those POIs or not to that tourist or its tour planning system. Moreover, instead of a common unimodal network, a bimodal tourist-reviewer network is modeled as suggested by the SNA literature given tourists and POI reviewers act as two distinct classes of entities with links between them representing their (dis)similarities. Both tourists and reviewers provide their personal attributes (like age), but reviewers then providing preferences for specific POIs, whereas tourists only preferences for certain types or categories of POIs (say archeology). Further, an algorithm for grouping into ""islands"" of most similar reviewers to a certain tourist given the strength of corresponding links in the bimodal network is developed. Additionally, a ranking algorithm based on in-degree or authority centrality is adopted to identify the highest ranked reviewers within the island and recommend their preferred POIs to a given tourist. If there are more than single POIs preferred per reviewer, and there remain more than requested POIs of the highly ranked reviewers to select among for recommendation, a similar centrality algorithm is applied over a reviewer-POI network with links representing a certain reviewer prefers that certain POI. The evaluation initially with an exemplary real-life experiment, and then extended to a massive online dataset from Foursquare, proves our approach as feasible in estimating the tourist's satisfaction with individual POIs. Moreover, it is already promising since incorporating location influence remains yet our future work and might further improve its performance.",Article,"Ahmedi, L.; Rrmoku, K.; Sylejmani, K.; Shabani, D.",Social network analysis; Bimodal graphs; Satisfaction factor on POIs; Collaborative filtering; Recommender systems,Social network analysis;Bimodal graphs;Satisfaction factor on POIs;Collaborative filtering;Recommender systems;SYSTEMS,Kosovo,
,,,5,2-s2.0-84946407262,2015,Designing a user interest ontology-driven social recommender system: Application for Tunisian tourism,"The tremendous growth of online social networks all over the world has created a new place and means of social interaction and communication among people. This paper aims to improve traditional recommender systems by incorporating information in social networks, including user preferences and influences from social friends. A user interest ontology is developed to make personalized recommendations out of such information. In this paper, we present a social recommender system employing a user interest ontology. Our system can improve the quality of recommendation for Tunisian tourism domain. Finally, our social recommendation algorithm will be implemented in order to be used in a Tunisia tourism Website to assist users interested in visiting Tunisian places. © Springer International Publishing Switzerland 2015.",Conference Paper,Frikha M.; Mhiri M.; Gargouri F.,Collaborative Filtering; Ontology; Recommender Systems; Social Network; Social Semantic Web; User Interest Model,Collaborative Filtering;Ontology;Recommender Systems;Social Network;Social Semantic Web;User Interest Model;Multi agent systems;Semantic Web;Social networking (online);On-line social networks;Personalized recommendation;Quality of recommendations;Recommendation algorithms;Social interactions;Social recommender systems;Social semantic webs,Tunisia,
,,,5,WOS:000357579200032,2015,Improving Web Movie Recommender System Based on Emotions,"Recommender Systems (RSs) are garnering a significant importance with the advent of e-commerce and e-business on the web. This paper focused on the Movie Recommender System (MRS) based on human emotions. The problem is the MRS need to capture exactly the customer's profile and features of movies, therefore movie is a complex domain and emotions is a human interaction domain, so difficult to combining together in the new Recommender System (RS). In this paper, we prepare a new hybrid approach for improving MRS, it consists of Content Based Filtering (CBF), Collaborative Filtering (CF), emotions detection algorithm and our algorithm, that presented by matrix. The result of our system provides much better recommendations to users because it enables the users to understand the relation between their emotional states and the recommended movies.",Article,"Wakil, K.; Bakhtyar, R.; Ali, K.; Alaadin, K.",movie recommender system; collaborative filtering; content based filtering; emotion; CF; CBF; MRS,movie recommender system;collaborative filtering;content based filtering;emotion;CF;CBF;MRS,Iraq,
,,,4,2-s2.0-84922278141,2014,Group context-aware recommendation systems,"The architecture and basic models of a context-aware recommendation system based on collaborative filtering are proposed. The major problems in creating such systems are emphasized and methods for solving the problems are proposed. The advantages of the pre-filtering methods that are used to allow for context are substantiated. Basic processes of constructing recommendations are described. The proposed architecture is demonstrated using a recommendation system for an m-tourism application. © 2014, Allerton Press, Inc.",Article,Smirnov A.V.; Shilov N.G.; Ponomarev A.V.; Kashevnik A.M.; Parfenov V.G.,collaborative filtering; context; ontology; profile management; recommendation systems,collaborative filtering;context;ontology;profile management;recommendation systems;Context-aware recommendation systems;Pre-filtering;Proposed architectures;Tourism application;Recommender systems,Russian Federation,
,,,4,WOS:000417633500016,2017,Review based emotion profiles for cross domain recommendation,"Several e-commerce sites are reaping the benefits of Cross-Domain Recommendation (CDR) systems to cross-sell products, guide new users and increase revenues. Current research works augment user-item ratings with a variety of auxiliary information such as location, personality, geo-tags and multimedia content that link multiple domains to provide effective CDR. In this paper, we propose a fresh perspective for generating recommendations across different domains by tapping the emotions that are encapsulated within user generated textual content such as reviews, blogs and comments. Such emotions serve as strong socio-psychological links between various entertainments domains and have the potential to obviate the cold start problems. Our CDR scheme uses an enriched emotion lexicon to analyze the emotions in online content expressed by users in the source and target domains and generates emotion-profiles of items and users in both domains. Subsequently, it applies collaborative filtering to match these profiles in order to recommend items in the target domain. We illustrate the working of our emotion-based CDR scheme using the movie and book domains as a case study. Experimental results on Movielens and Bookcrossing datasets yield 28.9% F1-measure which is a marked improvement of 71.1% as compared with a recently reported topic modeling approach to CDR for entertainment domains.",Article,"Chakraverty, S.; Saraswat, M.",Recommender system; Cross domain; Emotion; Lexicons; Online content; Collaborative filtering,Recommender system;Cross domain;Emotion;Lexicons;Online content;Collaborative filtering;SYSTEM,India,2-s2.0-85018677017
,,,4,2-s2.0-85056782299,2018,User preference learning in multi-criteria recommendations using stacked auto encoders,"Recommender System (RS) is an essential component of many businesses, especially in e-commerce domain. RS exploits the preference history (rating, purchase, review, etc.) of users in order to provide the recommendations. A user in traditional RS can provide only one rating value about an item. Deep Neural Networks have been used in this single rating system to improve recommendation accuracy in the recent times. However, the single rating systems are inadequate to understand the usersfi preferences about an item. On the other hand, business enterprises such as tourism, e-learning, etc. facilitate users to provide multiple criteria ratings about an item, thus it becomes easier to understand users' preference over single rating system. In this paper, we propose an extended Stacked Autoencoders (a Deep Neural Network technique) to utilize the multi-criteria ratings. The proposed network is designed to learn the relationship between each user's criteria and overall rating efficiently. Experimental results on real world datasets (Yahoo! Movies and TripAdvisor) demonstrate that the proposed approach outperforms state-of-the-art single rating systems and multi-criteria approaches on various performance metrics. © 2018 ACM. 978-1-4503-5901-6/18/10...$15.00",Conference Paper,Tallapally D.; Sreepada R.S.; Patra B.Kr.; Babu K.S.,Collaborative filtering; Deep Learning; Multi-criteria ratings; Stacked Autoencoders,Collaborative filtering;Deep Learning;Multi-criteria ratings;Stacked Autoencoders;Deep neural networks;Electronic commerce;Signal encoding;Autoencoders;Multi-criteria approach;Neural network techniques;Performance metrics;Preference learning;Real-world datasets;Recommendation accuracy;Recommender systems,India,
,,,3,2-s2.0-85039928830,2017,A context-aware proactive recommender system for tourist,"With the fast growth in Information Communication Technology (ICT), the aspect of Recommender system have proved to be a great tool to /finding appropriate items/objects for users. Traditional user request response pattern are usually used to make these recommendations, adding context information and integrating proactivity to the process of recommending items/objects has improved recommender system so far. Context-Aware Proactive Recommender system can be of great assistance in giving appropriate recommendation in mobile devices. Therefore this study proposes a Context-aware proactive recommender system for tourists, it will also include contextual factors such as time, location and weather of the user and how a particular item satisfies user's need, using Multi-criteria Collaborative filtering to make suggestions more efficient and accurate. Experiment will be conducted and the performance evaluation of the proposed system will be analysed to measure the efficiency and efficacy of the proposed techniques. © 2016 IEEE.",Conference Paper,Ashley-Dejo E.; Ngwira S.M.; Zuva T.,Collaborative Filtering; Context-aware proactive Recommender system; Multi-Criteria; Recommender system,Collaborative Filtering;Context-aware proactive Recommender system;Multi-Criteria;Recommender system;Context information;Context-Aware;Contextual factors;Fast growths;Information communication technology;Pro activities;Response patterns;Recommender systems,South Africa,
,,,3,WOS:000314217800006,2013,An association model based reasoning method for individualized service recommender,"Recommender systems have been widely accepted across a broad range of application areas. Their key task is to estimate the user's need as accurately as possible. To do so, conventional recommender systems have focused on how to more accurately determine similar users or similar products. However, individuals often have unique preferences, or they do not always prefer to use the same service. Typically, an individual's association from his own experience will be preferable, that is more accurate, compared with common interests he may have with other users. However, recommendation methods based on association, versus common interests, have been very few. Hence, the purpose of this paper is to propose an association model based reasoning methodology that estimates users associative strength from self-experiences based on association theories. In particular, we adopt the RescorlaWagner model, the Galton free association test, and Russell's circumflex model for mood positivity to estimate associative strength. We perform an experimental study with actual experience data to verify the hypotheses, which validates the association model based algorithm in finding the best service with a good elapsed time.",Article,"Kwon, O.; Jung, D.",recommender system; collaborative filtering; case-based reasoning; association; emotion,recommender system;collaborative filtering;case-based reasoning;association;emotion;SYSTEMS;SELECTION,South Korea,
,,,3,2-s2.0-85040309465,2017,Clu-PoF-A Novel Post Filtering Approach for Efficient Context Aware Recommendations,"Recommendation Systems have gained huge importance in recent years as they proffer most admissible choices explored out of large data sets and are analogous to the user's interests. But the notion of context - that describes the user, item or how users interact with the recommendation system has become one of the most significant factors that has increased the potency of recommendation systems in distinct domains such as e-commerce, movies, music, tourism etc. The main key issues in context aware recommendations are how to utilize the contextual information efficiently. So to utilize this information efficiently, an innovative cluster based context-aware post-filtering approach has been propounded that implicitly segregates the users into clusters on the basis of high performing contextual dimensions; combine the clusters on the basis of contextual similarity and then re-rank the items according to the probability of relevance in a cluster. The proposed approach is validated on movies dataset consisting of different contextual dimensions. The empirical analysis validates that the propounded approach surpass various state-of-the-art approaches. © 2017 The Authors. Published by Elsevier B.V.",Conference Paper,Taneja A.; Arora A.,Clustering; Collaborative Filtering; Contextual Information; Contextual Paradigms; Contextual Post-Filtering,Clustering;Collaborative Filtering;Contextual Information;Contextual Paradigms;Contextual Post-Filtering;Recommender systems;Context-aware recommendations;Contextual dimensions;Empirical analysis;Post-filtering;State-of-the-art approach;Information filtering,India,
,,,3,2-s2.0-85033449516,2018,Research of music recommendation system based on user behavior analysis and Word2vec user emotion extraction,"Aiming at the recommendation accuracy, diversity and timeliness of music recommendation system, this paper puts forward the music recommendation based on user behavior analysis and user emotion extraction. User behavior analysis can analyze the music preferences, and establish user’s interest model. Collaborative filtering algorithm and user similarity calculation can be a good way to explore the user’s new interests. In addition, by analyzing user’s real-time text information in the social network. Using word2vec and clustering can help achieve the user’s real-time feeling. Combining user’s interests with user’s emotional needs, filter out the user’s current emotional music recommendation-list from the recommended music list. By this way, users get a better experience. © 2018, Springer International Publishing AG.",Conference Paper,Li Q.; Liu D.,Collaborative filtering; Emotion analysis; Music recommendation; Similarity calculation; User behavior; Word2vec,Collaborative filtering;Emotion analysis;Music recommendation;Similarity calculation;User behavior;Word2vec;Calculations;Extraction;Intelligent systems;Recommender systems;User behaviors;Behavioral research,China,
,,,3,2-s2.0-84964292728,2016,Tourist routs recommendation based on latent dirichlet allocation model,"Tourism is an indispensable part of our life nowadays. At the same time, DIY tours become more and more popular. Traditionally, people have to spend a lot of time browsing websites and reading travel notes to select a suitable tourist route. With the help of tourist routes recommendation system, people can obtain their tourist routes satisfying their demands automatically. We improve a tourist routes recommendation system which based on Latent Dirichlet Allocation (LDA) model. The recommendation system firstly uses LDA model to dig out the hidden theme from a large number of documents. Then, by using Collaborative Filtering algorithm, grades are generated for each user to each travel routes. In this way, we can determine which route is most suitable to the user clearly. Our evaluation results indicate that our recommendation system is effective and has high level of satisfaction with user's hobbies and interests. © 2015 IEEE.",Conference Paper,He Z.; Wu Z.; Zhou B.; Xu L.; Zhang W.,Collaborative filtering; LDA; Recommendation system; Tourist routes,Collaborative filtering;LDA;Recommendation system;Tourist routes;Information systems;Statistics;World Wide Web;Collaborative filtering algorithms;Evaluation results;Latent Dirichlet allocation;Latent dirichlet allocations;Level of satisfaction;Travel notes;Travel routes;Recommender systems,China,
,,,3,2-s2.0-85077148728,2019,What is of interest for tourists in an alpine destination: personalized recommendations for daily activities based on view data,"Smartphones are nowadays important tools for tourists. For instance, while on the go in a destination, tourists can use smartphones to find places of interest and to identify activities that might be of interest, as well as a wealth of related information and even special offers in real-time. However, it is time consuming and not easy for tourists in an unknown destination to choose among the numerous options available. Recommendations for instance from other tourists with similar interests would help immensely. Indeed, places and activities are often reviewed and rated by other tourists, however, this information is typically not personalized. This article proposes a recommender system as part of an evolving mobile destination app. Our recommender app is capable of providing personalized recommendations to tourists thereby facilitating and enriching tourists’ experience and stay. This work is based on two qualitative studies towards exploring the information needs of tourists in an alpine destination. These studies were conducted using the mobile ethnography approach and semi-structured interviews. A hybrid recommender system is proposed that uses implicit user feedback in the form of view duration. The proposed system was tested using real data derived from tourists using the mobile app in a Swiss alpine destination. The results of these experiments demonstrate that the system is capable of providing high-quality and diverse recommendations. The core contribution of this work lies in the transformation of the viewing durations to a set of preference values and in learning the optimized weights of the parameters of a hybrid system utilizing an energy minimization framework. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Article,Majeed T.; Stampfli A.; Liebrich A.; Meier R.,Collaborative filtering; Implicit feedback; Personalized; Recommender system; Tourism,Collaborative filtering;Implicit feedback;Personalized;Recommender system;Tourism;Hybrid systems;Smartphones;Energy minimization;Hybrid recommender systems;Mobile destinations;Personalized recommendation;Semi structured interviews;Recommender systems,Switzerland,
,,,2,WOS:000475958000018,2019,Personalized itinerary recommendation with time constraints using GPS datasets,"Planning a personalized itinerary for an unfamiliar region requires much effort to design desirable travel plans. With the rapid development of location-based social network (LBSN) services, data mining techniques are utilized to retrieve useful information such as geographical features and social relationships. In this paper, we propose a personalized itinerary recommendation with time constraints (pirT) framework for the LBSN by exploiting geographical features and social relationships to recommend a personalized itinerary that satisfies user preferences (i.e., travel behaviors). In pirT, we have designed a user-based collaborative filtering with time preference (UTP) to explore user preferences by considering the visiting time of locations which the users have visited in our framework. UTP allows a tourist to find users with similar travel behaviors to those of the service requester in the past and to recommend interesting locations in the itineraries that these similar users have traveled to before. Subsequently, given a beginning location and a destination with a time constraint specified by the tourist, we devise the top-kA search-based recommendations and re-ranking itinerary candidate algorithms to efficiently plan the top k personalized itineraries. In the planning process, we simultaneously take account of the visiting time of locations, the transit time between locations, and the order of visiting locations. We conducted our experiments on the Gowalla dataset and demonstrated the effectiveness of our pirT framework comparing it with the personalized trip recommendation (PTR) framework. The results show that our pirT framework is superior to the PTR framework.",Article,"Hsueh, Y.L.; Huang, H.M.",Personalized itinerary recommendation; Recommender systems; Trip planning; Collaborative filtering; Location-based social networks; GPS data,Personalized itinerary recommendation;Recommender systems;Trip planning;Collaborative filtering;Location-based social networks;GPS data,Taiwan,2-s2.0-85046784209
,,,2,2-s2.0-84884243676,2013,Recommender system based on user ratings: A comprehensive study and future challenges,"With immense growth of information on web, the order of making choices about a particular item or product or to advice somebody on a particular product has become difficult. There is an overwhelming amount of information available on web. This has indeed lead to a clear demand for an automated tool or a method which will assist users in finding right information at the right place and at right time. The automated system is the Recommender System which provides tools to help user locate and retrieve information according to their interests. With exponential growth of information and choices available on web, users find it difficult to make right decision about items or products. Recommender system assists user in decision making process. In this paper we present a comprehensive study on very important tool i.e. recommender system which is the need of the day. The study includes the brief introduction to the different recommender systems available in the ecommerce, recommender system based on single rating, multi criteria rating(representing a two dimensional matrix of user and item) and an extension, multi dimensional(extending two dimensional matrix of user and item to 'n' dimensional matrix of user, time, content, space, emotions, color etc). We also present the future challenges that lie in the area of recommender system. © 2013 Praise Worthy Prize S.r.l. - All rights reserved.",Article,Sneha Y.S.; Mahadevan G.; Parvathi R.M.S.,Collaborative Filtering; Content Filtering; Hybrid Based Filtering; MAE; Similarity Metrics,Collaborative Filtering;Content Filtering;Hybrid Based Filtering;MAE;Similarity Metrics,India,
,,,2,WOS:000429358200003,2018,Social recommendations for personalized fitness assistance,"Wearable technology allows users to monitor their activity and pursue a healthy lifestyle through the use of embedded sensors. Such wearables usually connect to a mobile application that allows them to set their profile and keep track of their goals. However, due to the relatively ''high maintenance'' of such applications, where a significant amount of user feedback is expected, users who are very busy, or not as self-motivated, stop using them after a while. It has been shown that accountability improves commitment to an exercise routine. In this work, we present the PRO-Fit framework, a personalized fitness assistant aiming at engaging users in fitness activities, incorporating a social element. The PRO-Fit architecture collects information from activity tracking devices and automatically classifies their activity type. Moreover, the framework incorporates a social recommender system. Using collaborative filtering on user profile and activity data, PRO-Fit generates personalized fitness schedules based on their availability and wellbeing goals. We also incorporate the social network community of the application's users and identify different tie strengths based on the user's connections and location. The output of the recommendation process is twofold, as both new activities, as well as fitness buddies, are being recommended to each user.",Article,"Dharia, S.; Eirinaki, M.; Jain, V.; Patel, J.; Varlamis, I.; Vora, J.; Yamauchi, R.",Wearable technology; Activity tracking; Social recommendation; Collaborative filtering; Personalized assistant,Wearable technology;Activity tracking;Social recommendation;Collaborative filtering;Personalized assistant;MATRIX FACTORIZATION;SYSTEMS,United States;Greece,
,,,2,2-s2.0-84921793711,2014,Where should i go? City recommendation based on user communities,"Recommender systems play a key role in the decision making process of users in Web systems. In tourism, it is widely used to recommend hotels, tourist attractions, accommodations, etc. In this paper, we present a personalized neighborhood-based method to recommend cities. This is a fundamental problem whose solution support other tourism recommendations. Our recommendation approach takes into account information of two different layers, namely, an upper layer composed by cities and a lower layer composed by attractions of each city. It consists of first building a social network among users, where the edges are weighted by the similarity of interests between pairs of users, and then using this network as a component of a collaborative filtering strategy to recommend cities. We evaluate our method using a large dataset collected from Trip Advisor. Our experimental results show that our approach, despite being simple, outperforms the precision achieved by a state-of-the-art baseline approach for implicit feedback (WRMF), which exploits only the overall popularity of cities. We also show that the use of a secondary layer (attraction) contributes to improve the effectiveness of our approach. © 2014 IEEE.",Conference Paper,Bidart R.; Pereira A.C.M.; Almeida J.M.; Lacerda A.,Collaborative Filtering; e-Tourism; Recommendation Systems; Social Network,Collaborative Filtering;e-Tourism;Recommendation Systems;Social Network;Decision making;Feedback;Recommender systems;Social networking (online);Decision making process;Different layers;eTourism;Implicit feedback;Neighborhood-based method;State of the art;Tourist attractions;User communities,Brazil,
,,,1,2-s2.0-58449086205,2008,"A preference list based recommender system for tourism industry, design and implementation","The increasing number of works and studies in the field of e-commerce indicates that e-commerce has become one of the most important concerns of businesses and also researchers. In B2C arena tourism is a leading business worldwide. Tourism exists as a powerful economic force in the development of both community-based and global markets. This Paper concerns on tour recommender systems that are very important in tourism industry. The algorithm used in this approach works on the basis of specifying the preference lists of users and their needs and interests. A procedure for tour itinerary planning is suggested and then sample runs of the implemented program will be discussed. The proposed recommender system in this paper can be viewed as collaborative filtering that incorporates feature, such as age range, budget, interests, and duration of trip and special needs and preferences. © 2008 IADIS.",Conference Paper,Nafs A.N.; Nafs A.N.; Javidi M.M.,Collaborative filtering; Recommender system; Tourism,Collaborative filtering;Recommender system;Tourism;Commerce;Computers;Information retrieval systems;Information systems;Signal filtering and prediction;E-commerce;Special needs;Tourism industry;Electronic commerce,Iran,
,,,1,2-s2.0-85059868914,2018,A Tourist Place Recommendation and Recognition System,"Tourism, these days involves mass availability and mass participation in holidays. But many times, a tourist cannot decide which place to visit, or where to stay. In this paper, we propose a mobile application, which will take the user's interest and recommend attractions, restaurants, and hotels. The system is trained using the dataset of TripAdvisor. The clustering of the training dataset is done using K-modes clustering which is an unsupervised learning algorithm. The application Travigate, not only recommends new places to the user, but it also helps them to recognize new places. With the use of Convolutional Neural Networks, reverse image search is done for a dataset created by web scraping images from Google. The application receives the data in the JSON format from the MySQL Database using Python Flask Server. © 2018 IEEE.",Conference Paper,Parikh V.; Keskar M.; Dharia D.; Gotmare P.,Collaborative Filtering; Convolutional Neural Networks; Image Recognition; JSON; K-Modes Clustering; keras; TripAdvisor; Unsupervised Learning,Collaborative Filtering;Convolutional Neural Networks;Image Recognition;JSON;K-Modes Clustering;keras;TripAdvisor;Unsupervised Learning;Convolution;Learning algorithms;Neural networks;Convolutional neural network;k-Modes;Search engines,India,
,,,1,2-s2.0-85060917720,2019,Ayurtourism:A web based recommendation system for medical tourism,"AyurTourism:A recommendation system which provides a web based platform for collaborating Ayurvedic treatment and Tourism is proposed in this paper. Our proposal is that the leisure mind of people can be utilized as an opportunity to increase the revenue. The search keywords, implicit and explicit feed backs, reviews and user profiles are effectively used to determine the user preferences in our model. The personalized recommendations are generated on preferred hospitals for Ayurvedic treatment, trending tourist places, travel, food, and accommodation facility near the hospitals. Data mining and collaborative filtering are employed to implement this model. © 2019 Association for Computing Machinery.",Conference Paper,Dileep M.R.; Prathyash V.; Jithin J.,Ayurvedic; Collaborative filtering; Data mining; Tourism,Ayurvedic;Collaborative filtering;Data mining;Tourism;Hospitals;Recommender systems;Websites;Personalized recommendation;Search keyword;User profile;Web based;Web based platform;Distributed computer systems,India,
